# Time	Kinectic Energy
0.010000	0.002525
0.020000	0.002419
0.030000	0.002317
0.040000	0.002219
0.050000	0.002125
0.060000	0.002034
0.070000	0.001947
0.080000	0.001865
0.090000	0.001786
0.100000	0.001710
0.110000	0.001639
0.120000	0.001572
0.130000	0.001508
0.140000	0.001448
0.150000	0.001392
0.160000	0.001340
0.170000	0.001292
0.180000	0.001248
0.190000	0.001207
0.200000	0.001170
0.210000	0.001137
0.220000	0.001108
0.230000	0.001083
0.240000	0.001062
0.250000	0.001044
0.260000	0.001030
0.270000	0.001021
0.280000	0.001015
0.290000	0.001013
0.300000	0.001014
0.310000	0.001020
0.320000	0.001029
0.330000	0.001042
0.340000	0.001059
0.350000	0.001080
0.360000	0.001105
0.370000	0.001134
0.380000	0.001166
0.390000	0.001202
0.400000	0.001242
0.410000	0.001286
0.420000	0.001334
0.430000	0.001386
0.440000	0.001441
0.450000	0.001500
0.460000	0.001564
0.470000	0.001631
0.480000	0.001701
0.490000	0.001776
0.500000	0.001855
0.510000	0.001937
0.520000	0.002023
0.530000	0.002113
0.540000	0.002207
0.550000	0.002305
0.560000	0.002406
0.570000	0.002512
0.580000	0.002621
0.590000	0.002734
0.600000	0.002851
0.610000	0.002972
0.620000	0.003096
0.630000	0.003225
0.640000	0.003357
0.650000	0.003493
0.660000	0.003633
0.670000	0.003777
0.680000	0.003925
0.690000	0.004076
0.700000	0.004232
0.710000	0.004391
0.720000	0.004554
0.730000	0.004721
0.740000	0.004892
0.750000	0.005066
0.760000	0.005245
0.770000	0.005427
0.780000	0.005613
0.790000	0.005803
0.800000	0.005997
0.810000	0.006194
0.820000	0.006396
0.830000	0.006601
0.839999	0.006810
0.849999	0.007023
0.859999	0.007240
0.869999	0.007460
0.879999	0.007685
0.889999	0.007913
0.899999	0.008145
0.909999	0.008381
0.919999	0.008621
0.929999	0.008865
0.939999	0.009113
0.949999	0.009364
0.959999	0.009619
0.969999	0.009878
0.979999	0.010141
0.989999	0.010408
0.999999	0.010679
1.009999	0.010953
1.019999	0.011231
1.029999	0.011513
1.039999	0.011799
1.049999	0.012089
1.059999	0.012383
1.069999	0.012680
1.079999	0.012982
1.089999	0.013287
1.099999	0.013596
1.109999	0.013909
1.119999	0.014225
1.129999	0.014546
1.139999	0.014870
1.149999	0.015199
1.159999	0.015531
1.169999	0.015866
1.179999	0.016206
1.189999	0.016550
1.199999	0.016897
1.209999	0.017249
1.219999	0.017604
1.229999	0.017963
1.239999	0.018325
1.249999	0.018692
1.259999	0.019062
1.269999	0.019437
1.279999	0.019815
1.289999	0.020197
1.299999	0.020583
1.309999	0.020973
1.319999	0.021366
1.329999	0.021763
1.339999	0.022165
1.349999	0.022570
1.359999	0.022979
1.369999	0.023391
1.379999	0.023808
1.389999	0.024228
1.399999	0.024653
1.409999	0.025081
1.419999	0.025513
1.429999	0.025948
1.439999	0.026388
1.449999	0.026832
1.459999	0.027279
1.469999	0.027730
1.479999	0.028185
1.489999	0.028644
1.499999	0.029106
1.509999	0.029573
1.519999	0.030043
1.529999	0.030518
1.539999	0.030996
1.549999	0.031477
1.559999	0.031963
1.569999	0.032453
1.579999	0.032946
1.589999	0.033443
1.599999	0.033945
1.609999	0.034449
1.619999	0.034958
1.629999	0.035471
1.639999	0.035987
1.649999	0.036508
1.659999	0.037032
1.669999	0.037560
1.679999	0.038092
1.689999	0.038627
1.699999	0.039167
1.709999	0.039710
1.719999	0.040257
1.729999	0.040808
1.739999	0.041363
1.749999	0.041922
1.759999	0.042484
1.769999	0.043051
1.779999	0.043621
1.789999	0.044195
1.799999	0.044773
1.809999	0.045355
1.819999	0.045941
1.829999	0.046530
1.839999	0.047123
1.849999	0.047720
1.859999	0.048321
1.869999	0.048926
1.879999	0.049535
1.889999	0.050147
1.899999	0.050764
1.909999	0.051384
1.919999	0.052008
1.929999	0.052636
1.939999	0.053267
1.949998	0.053903
1.959998	0.054542
1.969998	0.055186
1.979998	0.055833
1.989998	0.056484
1.999998	0.057138
2.009999	0.057797
2.019999	0.058459
2.029999	0.059126
2.039999	0.059796
2.049999	0.060470
2.059999	0.061148
2.069999	0.061829
2.079998	0.062515
2.089998	0.063204
2.099998	0.063897
2.109998	0.064594
2.119998	0.065295
2.129998	0.066000
2.139998	0.066708
2.149998	0.067421
2.159998	0.068137
2.169998	0.068857
2.179998	0.069581
2.189998	0.070309
2.199998	0.071040
2.209998	0.071776
2.219998	0.072515
2.229998	0.073258
2.239998	0.074005
2.249998	0.074756
2.259998	0.075511
2.269998	0.076269
2.279998	0.077031
2.289998	0.077797
2.299998	0.078567
2.309998	0.079341
2.319998	0.080119
2.329998	0.080901
2.339998	0.081686
2.349998	0.082475
2.359998	0.083268
2.369998	0.084065
2.379998	0.084866
2.389998	0.085670
2.399998	0.086479
2.409998	0.087291
2.419998	0.088107
2.429998	0.088927
2.439998	0.089751
2.449998	0.090579
2.459998	0.091410
2.469998	0.092245
2.479998	0.093084
2.489998	0.093927
2.499998	0.094774
